"Title","Link","Published Date","Description"
"Kocht auch in Österreich die Bauernseele? Wieso am Freitag Landwirte in Wien protestieren","https://www.derstandard.at/story/3000000203724/wieso-auch-214sterreichs-bauern-protestieren?ref=rss","Thu Jan 18 18:02:39 CET 2024","ÖVP, Grüne und Neos distanzieren sich von geplanten Protesten der Landwirte. Wien mag nicht Berlin sein, aber um gewisse Baustellen kommt die Agrarpolitik nicht herum"
"Österreichs Handballer mit der nächsten EM-Sensation: 30:29 gegen Ungarn","https://www.derstandard.at/story/3000000203720/oesterreichs-handballer-mit-der-naechsten-em-sensation-3029-gegen-ungarn?ref=rss","Thu Jan 18 17:24:18 CET 2024","Kapitän Bilyk traf kurz vor dem Ende zum Sieg. Torhüter Möstl wurde zum besten Spieler der Partie gewählt. Am Samstag wartet Deutschland"
"Die Bierpartei ist noch ein Fischer im linken Meer","https://www.derstandard.at/story/3000000203726/die-bierpartei-ist-noch-ein-fischer-im-linken-meer?ref=rss","Thu Jan 18 18:03:33 CET 2024","Dominik Wlazny hat derzeit nur wenig Programm zu bieten. Mit unkonventionellen Zugängen und durchdachten Projekten könnte er Nichtwähler ansprechen"
"Iran im Zentrum der Eskalationsspirale","https://www.derstandard.at/story/3000000203684/iran-im-zentrum-der-eskalationsspirale?ref=rss","Thu Jan 18 17:25:33 CET 2024","Nach einem iranischen Raketenangriff folgte in der Nacht auf Donnerstag die Revanche Pakistans. Unterdessen hatte die jüngste Hamas-Geisel Kfir Bibas in Gaza ersten Geburtstag"
"Regierung will Aufnahmetests bei allen Masterstudien ermöglichen","https://www.derstandard.at/story/3000000203588/regierung-will-aufnahmetests-bei-allen-masterstudien-ermoeglichen?ref=rss","Thu Jan 18 15:07:30 CET 2024","Türkis-grüner Gesetzesentwurf sieht vor, dass die Unis bei Masterstudien generell Zugangsbeschränkungen verhängen dürfen. Die ÖH sieht einen massiven Eingriff in den Hochschulzugang"
"Eklat um Matthias Mayer in Kitzbühel","https://www.derstandard.at/story/3000000203731/aufregung-um-offensichtlich-alkoholisierten-matthias-mayer-in?ref=rss","Thu Jan 18 18:15:30 CET 2024","Dreifacher Olympiasieger verlor bei ""Niederösterreich-Heurigen"" die Contenance. Der ÖSV spricht in einer Aussendung von ""gesundheitlichen Problemen"""
"Wo liegt die ideale tägliche Schrittanzahl?","https://www.derstandard.at/story/3000000203679/wo-liegt-die-ideale-taegliche-schrittanzahl?ref=rss","Thu Jan 18 18:03:06 CET 2024","Dass 10.000 Schritte gar nicht nötig sind für einen positiven Effekt, weiß man schon länger. Das Optimum liegt eher bei 6.000 bis 8.000 Schritten, wie eine Studie zeigt"
"Die nervigsten Kulinarik-Trends","https://www.derstandard.at/story/3000000203310/die-nervigsten-kulinarik-trends?ref=rss","Thu Jan 18 19:55:14 CET 2024","Wieder einmal ist die Zeit im Jahr gekommen, zu der neue Food-Trends angekündigt werden. Der ideale Zeitpunkt, um auch jene aufzulisten, die nur noch nerven."
"Zur Abschreckung: Nato organisiert Großmanöver mit 90.000 Soldaten","https://www.derstandard.at/jetzt/livebericht/3000000203581/selenskyj-ausbleibende-ukraine-hilfen-bedeuten-krise-fuer-europa?ref=rss","Thu Jan 18 05:56:07 CET 2024","Selenskyj wertet ausbleibende Ukraine-Hilfen als Krise für Europa. Russland will bei einem Angriff auf Charkiw über 60 Söldner getötet haben"
"Ukrainische Drohnen erreichen Sankt Petersburg","https://www.derstandard.at/story/3000000203649/ukrainische-drohnen-erreichen-sankt-petersburg?ref=rss","Thu Jan 18 19:40:46 CET 2024","Die Angriffe in Charkiw gehen weiter. Während in Davos weiter über Ukraine-Hilfen diskutiert wird, schwört Selenskyj Ukrainer und Ukrainerinnen auf eine ""proaktive Perspektive"" ein"
